# Star 2 - Telescope kepler - Campaign 3
# Time Flux Error
# days relative_flux relative_error
0.033431 0.99344639 0.003515
0.099202 1.00673032 0.003918
0.122292 1.00092895 0.007214
0.163977 1.00514448 0.007585
0.172364 0.99738318 0.005474
0.175543 1.00094683 0.003757
0.197623 1.00685744 0.005535
0.238913 1.00402654 0.004913
0.305958 1.00856261 0.003175
0.362426 0.99457066 0.005254
0.402484 1.02329070 0.004262
0.402905 1.00582023 0.005124
0.410490 0.98913691 0.007767
0.413242 1.00591154 0.004910
0.415921 1.01292312 0.007838
0.418596 1.00959851 0.006404
0.447630 1.00515994 0.003391
0.459383 1.00794952 0.005829
0.525334 1.01514741 0.007671
0.529493 0.99976129 0.006347
0.543053 1.00241944 0.006817
0.621214 1.00505773 0.003509
0.635118 1.01622145 0.005953
0.646523 1.00951198 0.003763
0.657527 1.00139753 0.005906
0.665052 1.02204818 0.007317
0.679208 1.00941439 0.007224
0.695605 1.00781780 0.003765
0.759486 1.00626199 0.006679
0.772599 1.01350939 0.004545
0.789808 1.00996412 0.004821
0.790544 1.00699869 0.004222
0.792929 1.01094436 0.005289
0.794764 1.01634668 0.007319
0.830964 1.00173375 0.007511
0.837068 1.00560987 0.006845
0.845047 1.01369399 0.003131
0.871150 1.01000469 0.003776
0.881416 1.01023730 0.006136
0.954178 1.01404687 0.003736
0.975519 1.01887873 0.003633
0.979951 1.01892403 0.007026
1.011075 1.01872777 0.003542
1.019437 1.02328150 0.005751
1.028799 1.01213756 0.006773
1.065407 1.01371073 0.007616
1.065722 1.02838085 0.003305
1.076022 1.02026697 0.007185
1.082088 1.01460994 0.007242
1.093670 1.01113231 0.004976
1.099189 1.01439212 0.007093
1.111855 1.01941276 0.004984
1.133142 1.01621777 0.004578
1.155696 1.02492267 0.007213
1.156281 1.01664642 0.006637
1.161467 1.01844323 0.003626
1.163872 1.00684450 0.003628
1.195910 1.01885047 0.003345
1.216516 1.00968201 0.006030
1.231864 1.01122972 0.006563
1.241798 1.01414232 0.004625
1.284697 1.01446536 0.005969
1.305971 1.02260944 0.005395
1.354743 1.01312080 0.007207
1.367970 1.02240970 0.005422
1.426282 1.01329698 0.004112
1.484477 1.01776059 0.006340
1.485148 1.02043713 0.003094
1.517815 1.01956728 0.003814
1.518577 1.01803216 0.004983
1.522916 1.02251146 0.004655
1.584895 1.02477365 0.005801
1.619858 1.01331949 0.004940
1.657915 1.02771845 0.004610
1.714003 1.02488842 0.004342
1.787141 1.01917177 0.005635
1.790864 1.02173314 0.006470
1.813836 1.03067764 0.003402
1.827808 1.02292842 0.005265
