# Star 3 - Telescope kepler - Campaign 2
# Time Flux Error
# days relative_flux relative_error
0.015920 0.99784933 0.005890
0.018006 1.00291486 0.005736
0.071644 0.99986852 0.003838
0.087554 1.01178231 0.003342
0.090697 1.00557931 0.005848
0.093595 1.00061863 0.007793
0.098400 1.00655050 0.006122
0.114028 1.00333628 0.003869
0.141838 1.00440749 0.006662
0.168201 1.00974294 0.003524
0.182994 1.00741711 0.006185
0.268553 1.00913281 0.003762
0.296557 1.00759346 0.003107
0.353770 1.00556690 0.006195
0.410216 1.01321896 0.007869
0.413834 1.00990409 0.007090
0.442299 1.01624773 0.005326
0.484190 1.01155316 0.006709
0.490920 1.02241650 0.005132
0.513686 1.02045152 0.007162
0.517446 1.01240316 0.007126
0.534199 1.02245750 0.006015
0.538825 1.01443016 0.003699
0.592401 1.00515492 0.003882
0.599618 1.02810766 0.007879
0.606189 1.02003224 0.004463
0.610254 1.01599943 0.006840
0.620018 1.02312917 0.007463
0.634215 1.01755356 0.006871
0.657163 1.02345324 0.005370
0.669301 1.01886683 0.003042
0.672860 1.02658721 0.005935
0.677919 1.02135938 0.006442
0.685117 1.02031464 0.005591
0.691136 1.02073340 0.003031
0.747237 1.02710469 0.003612
0.796270 1.02657593 0.006411
0.803555 1.02078925 0.006432
0.858724 1.01479684 0.006472
0.878362 1.01355962 0.007514
0.919447 1.02531205 0.004055
0.920371 1.01464221 0.003873
0.930465 1.01641534 0.005802
0.933519 0.98585551 0.005290
0.935229 1.03340769 0.005271
0.977251 1.02693675 0.006091
0.978682 1.02303192 0.006892
0.995511 1.02685659 0.006964
0.996639 1.02163070 0.007577
1.008044 1.03046590 0.004668
1.010919 1.03096844 0.006908
1.024787 1.02587289 0.007834
1.051475 1.02770369 0.004734
1.053824 1.02884724 0.006872
1.064821 1.02852856 0.003665
1.076626 1.01820466 0.003233
1.086638 1.02102847 0.006675
1.126716 1.02737430 0.004868
1.143121 1.02164727 0.005607
1.183453 1.03108262 0.003556
1.195404 1.02778452 0.005807
1.238789 1.02084583 0.006786
1.241403 1.02925080 0.004207
1.244508 1.02284532 0.004518
1.294026 1.02716151 0.007293
1.301834 1.01596154 0.005361
1.318645 1.02488978 0.003262
1.340190 1.02372216 0.003205
1.351631 1.02342709 0.005741
1.381174 1.02757601 0.006291
1.399895 1.02316877 0.006134
1.414070 1.02129960 0.007647
1.432595 1.02533650 0.004591
1.436058 1.01906339 0.004595
1.455029 1.02049640 0.007873
1.536497 1.02308997 0.007795
1.548071 1.01101040 0.005107
1.552090 1.02813400 0.004077
1.571407 0.99116564 0.004408
1.615832 1.02126215 0.005640
1.674770 1.03340269 0.005220
1.697405 1.02164795 0.007650
1.698908 1.01711906 0.006926
1.701241 1.02519534 0.007095
1.710973 1.01925635 0.007817
1.719252 1.01650410 0.003130
1.723660 1.02091970 0.005339
1.727180 1.02546965 0.007972
1.734719 1.01141337 0.007467
1.760895 1.02197669 0.003386
1.768077 1.02235005 0.004131
1.776448 1.02005550 0.006301
1.790048 1.02383571 0.003401
1.798119 1.02915465 0.005999
1.810058 1.01771236 0.004239
1.814348 1.01899507 0.005879
1.835213 1.02114675 0.007636
1.837386 1.02787855 0.006522
1.855308 1.02093200 0.004556
1.870390 1.02278056 0.005020
1.889684 1.01433003 0.005088
1.932286 1.01411946 0.003394
1.938060 1.02809250 0.006394
1.969949 1.02256502 0.007103
1.975522 1.01964715 0.003987
1.980812 1.01423287 0.003124
1.983125 1.01890102 0.007505
2.005161 1.02903173 0.006723
2.005398 1.01743824 0.007030
2.017455 1.02586742 0.007313
2.021238 0.95346593 0.003237
2.071651 1.01722079 0.005715
2.078421 1.03078754 0.003887
