# Star 1 - Telescope tess - Campaign 2
# Time Flux Error
# days relative_flux relative_error
0.053944 1.00693525 0.004774
0.073385 1.00815405 0.005352
0.079608 1.01994017 0.006703
0.092829 1.00605463 0.004299
0.125707 1.01393496 0.005646
0.133244 1.01458006 0.005423
0.145117 1.01022286 0.003722
0.145978 1.01128478 0.005013
0.171763 1.01336608 0.004627
0.184414 1.02578699 0.004301
0.198159 1.02256140 0.006509
0.214752 1.02381702 0.003933
0.216032 1.01492294 0.005651
0.234752 1.01166298 0.006531
0.236001 1.02038622 0.007240
0.242749 1.01064168 0.004769
0.265915 1.02857260 0.003860
0.271832 1.01878561 0.003586
0.285391 1.02807530 0.004008
0.314483 1.02018856 0.004424
0.331878 1.02617574 0.005847
0.360150 1.01653404 0.007763
0.373991 1.02329751 0.007461
0.383612 1.02202117 0.007885
0.392316 1.02956538 0.004034
0.412374 1.03654220 0.004213
0.437299 1.02287085 0.007615
0.439810 1.02009148 0.005747
0.457008 1.01314531 0.007059
0.476023 1.02543660 0.007592
0.516387 1.01932487 0.006163
0.531596 1.02762425 0.005823
0.592122 1.02621973 0.006073
0.651005 1.01441325 0.004819
0.654350 1.02252406 0.005626
0.682617 1.01807313 0.006267
0.692286 1.02079149 0.005505
0.705513 1.01083249 0.007029
0.707920 1.01210993 0.005221
0.726328 1.00735037 0.005518
0.773071 1.00957604 0.007114
0.786372 1.04659701 0.003157
0.787777 1.01677100 0.006199
0.866914 1.01312638 0.004816
0.909481 1.00142054 0.004111
0.995170 1.00368720 0.005587
0.998826 0.99969592 0.007423
1.013823 1.00686109 0.003863
1.022072 1.00474874 0.004250
1.036094 1.00766019 0.003528
1.068825 0.99711755 0.007843
1.080151 1.00100531 0.007156
1.081021 0.99599267 0.006049
1.085758 1.10163443 0.005441
1.128127 0.99536370 0.007539
1.150185 0.99383434 0.004290
1.164237 0.99452216 0.004434
1.164828 0.99874956 0.005085
1.167257 1.00802687 0.005550
1.169824 1.00643601 0.005398
1.178920 1.00043824 0.004087
1.188745 0.99869132 0.006152
1.197838 1.00160414 0.003066
1.248179 1.00779948 0.003083
1.255325 0.99702106 0.003292
1.262207 0.99955882 0.004324
1.320670 1.00529590 0.005258
1.348922 1.00185416 0.006043
1.388291 0.99820538 0.005010
1.400301 1.00774128 0.005367
1.518402 1.00862961 0.005478
1.612565 0.99761373 0.007295
1.626500 0.99009162 0.007308
1.639227 0.98391775 0.003266
1.661120 0.98165075 0.004814
1.671115 1.00092308 0.004933
1.686949 0.95729757 0.006251
1.694160 0.99233947 0.007689
1.725443 0.98234435 0.003552
1.740779 0.98606277 0.003857
1.766304 0.98826213 0.007677
1.808518 0.97649913 0.004342
1.830674 0.98300236 0.003608
1.834539 0.98530373 0.006500
1.840060 0.98953462 0.005256
1.848155 0.98868700 0.005565
1.854432 0.98936956 0.006494
1.855622 0.97730003 0.003021
1.862413 0.99009066 0.003101
1.881004 0.97513791 0.004376
1.894482 0.98069332 0.005579
