# Star 1 - Telescope kepler - Campaign 3
# Time Flux Error
# days relative_flux relative_error
0.070937 1.00842624 0.006171
0.099542 1.00799857 0.005318
0.110605 1.00766121 0.006180
0.158631 1.01474489 0.004519
0.186807 1.02194660 0.006850
0.212477 1.01485881 0.005311
0.221184 1.02641837 0.004161
0.227340 1.02222483 0.006943
0.253587 1.02173962 0.007460
0.266181 1.02098304 0.004684
0.289322 1.02709730 0.006468
0.295592 1.03260957 0.006307
0.314131 1.02407700 0.007139
0.318282 1.01913882 0.006781
0.330723 1.01645898 0.003790
0.340569 1.02546892 0.005919
0.392431 1.01807895 0.007409
0.416279 1.02168360 0.003017
0.419671 1.03224658 0.003934
0.421244 1.01737570 0.003378
0.438186 1.03030147 0.006133
0.485473 1.02237334 0.005927
0.488409 1.02848279 0.003833
0.515173 1.02352419 0.005039
0.524700 1.03015301 0.005576
0.531674 1.02558295 0.004888
0.537686 1.02318608 0.003060
0.544093 1.03211065 0.006274
0.566689 1.02766327 0.007787
0.582178 1.03054760 0.006803
0.586889 1.01853865 0.006879
0.606236 1.03158269 0.005632
0.619956 1.02261277 0.003117
0.639684 1.02082454 0.003399
0.681286 1.07428004 0.006981
0.688564 1.01371537 0.006962
0.702472 1.01649978 0.004307
0.704894 1.02066251 0.005543
0.731757 1.02467041 0.004689
0.746274 1.01259495 0.006847
0.761587 1.00642178 0.005856
0.762509 1.02072740 0.003649
0.767872 1.00513532 0.004136
0.792837 1.01030423 0.003851
0.796287 1.01315002 0.006141
0.819196 1.01540289 0.004872
0.834550 1.01296452 0.003795
0.869787 1.00930255 0.004925
0.904750 1.00707636 0.004702
0.910149 1.01289772 0.006949
0.925637 1.01030428 0.006120
0.953418 0.99667419 0.007541
0.962930 1.00779030 0.005601
0.997636 1.00279414 0.005518
1.003065 1.00201702 0.003426
1.037753 0.99925991 0.007201
1.038332 1.01053957 0.005953
1.050833 0.99673090 0.006630
1.087910 1.00332389 0.003794
1.102404 1.00033966 0.006092
1.115003 0.99460226 0.003536
1.115927 0.99425109 0.004578
1.127991 1.00187497 0.007470
1.197969 0.99737410 0.007772
1.212860 0.99455295 0.003735
1.234767 1.00333694 0.006152
1.312927 1.01526009 0.004947
1.339124 0.99529164 0.004369
1.354642 1.00309607 0.006746
1.366702 1.00501586 0.005197
1.393768 0.99442932 0.005210
1.395446 1.00554251 0.003926
1.398617 0.99666099 0.006808
1.399194 0.99741059 0.003574
1.404738 1.00151761 0.006241
1.412778 0.99775328 0.005963
1.413581 0.99745428 0.006599
1.428234 0.99712654 0.007010
1.443616 0.99507305 0.003649
1.456599 0.98908100 0.003572
1.488392 1.00552936 0.004159
1.488967 0.99896266 0.007316
1.505732 0.99431714 0.003893
1.536880 0.99219056 0.005007
1.555941 1.00633062 0.006155
1.646901 0.99437443 0.006743
1.664049 0.99640652 0.004975
1.675839 0.99322433 0.003151
1.690410 0.98971112 0.006828
1.710807 0.98957336 0.007654
1.719551 0.99905772 0.004491
1.730409 0.98891123 0.005645
1.741666 0.99080403 0.003257
1.745704 0.99235592 0.007412
1.748493 0.99474742 0.004623
1.790121 0.99823680 0.005611
1.816869 0.98286287 0.005632
1.828616 0.99055329 0.003118
1.860549 0.98475926 0.007087
1.864070 0.97560840 0.004530
1.890377 0.98170369 0.007189
1.914533 0.98068348 0.006124
1.916736 0.98174773 0.006348
1.923845 0.98851371 0.006630
1.929883 0.98412920 0.004000
1.942380 0.97686491 0.005096
1.955087 0.98553222 0.007225
1.997742 0.97237211 0.003771
2.017500 0.98302973 0.007683
2.027002 0.97206537 0.007228
2.040383 0.97283164 0.007153
2.049092 0.98816389 0.003075
2.094275 0.97663480 0.005596
2.119970 0.96868091 0.007043
2.139107 0.97135962 0.006236
2.139450 0.96768321 0.005384
2.149447 0.98461807 0.007305
2.164626 0.97988056 0.006005
2.221465 0.97120662 0.003404
2.221769 0.97169820 0.005567
2.247940 0.97203795 0.005262
2.272054 0.97466269 0.005943
2.292330 0.98144826 0.003106
2.295098 0.98159195 0.004002
2.301612 0.97274486 0.007985
2.329124 0.98157779 0.004137
2.336207 0.97025088 0.004336
2.364567 0.98246990 0.003510
2.382756 0.98172372 0.003712
2.388354 0.97582422 0.007426
2.407455 0.98633884 0.005292
2.408474 0.97512214 0.005369
2.444167 0.98536065 0.003652
2.489132 0.98334339 0.006604
2.547009 0.99613135 0.004237
2.554105 0.99430988 0.003725
