# Star 2 - Telescope hubble - Campaign 2
# Time Flux Error
# days relative_flux relative_error
0.020076 1.00096439 0.004742
0.038645 1.00334486 0.004488
0.041973 1.00439343 0.005965
0.048840 1.00106859 0.003693
0.055482 0.99915708 0.004489
0.063460 0.99952642 0.005618
0.097299 1.01085951 0.005513
0.108191 0.99991712 0.005599
0.132855 1.00395169 0.004395
0.146201 0.99546460 0.007416
0.177732 1.00069054 0.003003
0.177946 1.01254738 0.004272
0.197381 0.99792438 0.004797
0.261888 0.99492463 0.004922
0.268352 1.00590268 0.004476
0.287384 0.99030153 0.007459
0.290680 1.00807786 0.005928
0.316207 1.00505500 0.005672
0.332070 1.00763425 0.006336
0.371763 1.00874327 0.004089
0.373980 1.00029935 0.004724
0.382304 1.00946768 0.003800
0.383126 1.00755781 0.007904
0.387463 1.00588884 0.005226
0.437204 0.99986875 0.003503
0.467909 1.00713217 0.005192
0.503770 0.99666759 0.006914
0.554298 1.00665872 0.005377
0.588710 1.01167103 0.006543
0.594825 1.00830003 0.005872
0.633655 1.00655606 0.007979
0.633808 1.01850103 0.004615
0.664757 1.01120062 0.003654
0.702946 1.01024359 0.006837
0.705130 1.01045581 0.007806
0.705967 1.01435537 0.006708
0.729765 1.01782273 0.006636
0.731974 1.00586122 0.006454
0.736024 1.01152013 0.006873
0.752255 1.00480381 0.003146
0.793606 1.00735155 0.004196
0.794291 1.01540055 0.006689
0.795169 1.01729479 0.003437
0.811041 1.00440495 0.006246
0.822401 1.01284015 0.005961
0.836531 1.02201834 0.005016
0.852463 1.01526743 0.003470
0.858231 1.01277160 0.007524
0.871153 1.02471023 0.006751
0.910180 1.01801674 0.003709
0.917528 1.01541994 0.007145
0.927041 1.02024604 0.005946
0.940242 1.02328432 0.005277
0.940836 1.01836297 0.007509
0.948076 1.02505821 0.003762
0.962636 1.00881632 0.004547
0.968542 1.02111260 0.005759
1.016005 1.01427490 0.003348
1.018504 1.02158402 0.005430
1.030175 1.01723884 0.003647
1.049471 1.02011139 0.006406
1.054507 1.01168944 0.005484
1.098918 1.01418513 0.005539
1.167185 1.00779540 0.006994
1.186052 1.02308024 0.007101
1.194880 1.02799220 0.004327
1.214575 1.01641304 0.006494
1.232184 1.01831285 0.003963
1.256631 1.01971051 0.006951
1.261632 1.01421719 0.005728
1.265567 1.02031101 0.005910
1.277581 1.01646201 0.003457
1.322399 1.02456642 0.004226
1.343589 1.02619109 0.004975
1.364232 1.02002137 0.004832
1.365448 1.01671703 0.003461
1.372840 1.01697996 0.005622
1.417355 1.02067149 0.003136
1.417969 1.02889711 0.007004
1.431442 1.02866533 0.007321
1.434954 1.01754819 0.004092
1.457960 1.02979913 0.005263
1.506918 1.03192230 0.004945
1.520098 1.02503210 0.006882
1.611581 1.02601744 0.006296
1.618505 1.02285995 0.007543
1.649598 1.02468082 0.004535
1.664753 1.02370581 0.006923
1.687322 1.02010178 0.007490
1.696062 1.02612167 0.006219
1.696302 1.02252284 0.007072
1.737335 1.02214966 0.006522
1.744122 1.01946463 0.006206
1.761532 1.02949047 0.006042
1.836645 1.03336314 0.004444
1.847235 1.02228016 0.004737
1.904133 1.02423663 0.006939
1.910613 1.02296809 0.005169
1.927177 1.02130199 0.007391
1.947293 1.02095274 0.006574
1.967224 1.02291998 0.006290
2.010110 1.02087010 0.003616
2.067827 1.03654606 0.004517
2.092359 1.01741872 0.005864
2.099522 1.02738903 0.006439
2.105469 1.03629964 0.007229
2.137795 1.01812353 0.005308
2.149822 1.03496238 0.006638
2.154109 1.02179746 0.003612
2.176739 1.03405324 0.006547
2.180448 1.01793669 0.006708
2.188933 1.02716857 0.006546
2.201898 1.01539207 0.006571
2.236043 1.02778156 0.005726
2.248589 1.01991354 0.003395
2.256107 1.02214756 0.003120
2.265020 1.03048553 0.007923
2.276243 1.02333688 0.004292
2.290346 1.02950915 0.005966
2.297645 1.03004194 0.005710
2.312418 1.03014050 0.005217
2.329439 1.02614836 0.005566
2.338268 1.02812330 0.003700
2.352674 1.02750436 0.005388
2.414426 1.02044685 0.004848
2.415199 1.03251392 0.007422
2.416684 1.02757544 0.005107
2.431790 1.02745919 0.006498
2.484973 1.02648410 0.006385
2.494581 1.02537645 0.003363
2.502811 1.02735878 0.004290
2.503465 1.02169230 0.006020
2.522760 1.03484842 0.003836
2.559074 1.02185076 0.003345
2.582860 1.03729229 0.007339
2.586149 1.02182775 0.004550
2.588799 1.02357600 0.007011
2.604863 1.02976967 0.006612
2.628775 1.02262956 0.006557
2.660670 1.02516206 0.006407
2.665030 1.02711594 0.006803
2.677055 1.02547630 0.003683
2.695756 1.02157751 0.006204
2.697382 1.02990230 0.006780
2.770419 1.02719115 0.005256
2.794341 1.02409600 0.005836
2.815482 1.03761774 0.005115
2.889087 1.02689884 0.004886
2.909148 1.02216010 0.005424
2.911981 1.02232801 0.007264
2.952842 1.02268471 0.007177
2.962322 1.02540674 0.005187
2.971035 1.02265936 0.003256
2.988676 1.02374919 0.006092
2.994710 1.02793349 0.007142
3.006517 1.02439985 0.004074
3.048886 1.02527082 0.004671
3.073079 1.02971347 0.005001
3.091441 1.02536766 0.006679
3.144824 1.03346093 0.006072
3.163871 1.02384589 0.006243
3.199020 1.02489693 0.006668
3.217342 1.02238728 0.007985
3.221794 1.02188335 0.005567
3.292810 1.01892072 0.007582
3.316709 1.02613740 0.006873
3.320822 1.01985084 0.007818
3.322676 1.01969179 0.006043
3.337513 1.01964557 0.003198
3.365278 1.02143665 0.005266
3.396626 1.03118928 0.004941
3.423983 1.02507637 0.007085
3.434909 1.03264586 0.007235
3.482145 1.02174383 0.004946
3.513348 1.02998158 0.003147
3.513638 1.02398356 0.006920
3.533628 1.02174568 0.003302
3.548498 1.01868751 0.005465
3.562632 1.02133169 0.006276
3.562998 1.02221883 0.005327
3.576491 1.01999371 0.004052
3.578499 1.01669580 0.004705
3.601615 1.02490384 0.004955
3.606002 1.01979390 0.003493
3.684319 1.01684087 0.003523
3.700206 1.01832243 0.004471
3.719586 1.02358804 0.007138
3.756086 1.01681359 0.003046
3.768071 1.01702699 0.007006
3.783417 1.01650327 0.006767
3.786080 1.01877686 0.005949
3.790329 1.01393824 0.005543
3.793962 1.02587146 0.005360
3.835415 1.02787438 0.006968
3.839805 1.02609224 0.004281
3.848759 1.01051352 0.005489
3.849106 1.02384416 0.006446
3.867512 1.02330948 0.004870
3.878599 1.02402039 0.007145
3.897375 1.01955069 0.006187
3.922677 1.01630725 0.007648
3.938253 1.01606560 0.007835
3.979307 1.02375538 0.006437
4.016010 1.01663902 0.007312
4.018371 1.01578921 0.004429
4.039787 1.02273145 0.005325
4.050083 1.02798403 0.005431
4.060889 1.02187917 0.006438
4.061395 1.01832120 0.007903
4.065120 1.02193576 0.004056
4.082858 1.05224021 0.005161
4.145218 1.01515427 0.006236
4.166788 1.01677282 0.007565
4.181424 1.01292241 0.003358
4.202675 1.01472321 0.006946
4.219052 1.01209599 0.007747
4.222307 1.01690118 0.006357
4.254275 1.01351005 0.003705
4.255412 1.01322596 0.005218
4.264782 1.01822677 0.004275
4.267993 1.00748218 0.006756
4.290744 1.01954982 0.007378
4.357662 1.01763080 0.006606
4.360890 1.01854569 0.003359
4.370239 1.01783153 0.006920
4.401176 1.01301035 0.006079
4.406996 1.01919878 0.007061
4.409526 1.01662409 0.006495
4.436406 1.00716514 0.005910
4.444623 1.01667909 0.005543
4.459380 1.01671085 0.005437
4.561978 1.01754580 0.003577
4.595764 1.01999958 0.005645
